Strain	Code
rsys_HF562253_Base-NCBI	rsys_HF562253_Base-NCBI
rsys_HF562242_Base-NCBI	rsys_HF562242_Base-NCBI
rsys_HF562243_Base-NCBI	rsys_HF562243_Base-NCBI
rsys_HF562254_Base-NCBI	rsys_HF562254_Base-NCBI
rsys_HF562250_Base-NCBI	rsys_HF562250_Base-NCBI
rsys_HF562251_Base-NCBI	rsys_HF562251_Base-NCBI
KJ011830	KJ011830
rsys_KJ787116_Base-NCBI	rsys_KJ787116_Base-NCBI
rsys_KJ787115_Base-NCBI	rsys_KJ787115_Base-NCBI
rsys_KJ011832_Base-NCBI	rsys_KJ011832_Base-NCBI
KJ011835	KJ011835
rsys_AM710472_Base-NCBI	rsys_AM710472_Base-NCBI
rsys_KJ011839_Base-NCBI	rsys_KJ011839_Base-NCBI
615	615
654	654
875	875
KJ011853	KJ011853
rsys_AM710486_Base-NCBI	rsys_AM710486_Base-NCBI
rsys_TCC737-Rbcl-1_@speed-ID	rsys_TCC737-Rbcl-1_@speed-ID
134	134
164	164
168	168
499	499
543	543
567	567
568	568
570	570
579	579
581	581
582	582
583	583
584	584
585	585
588	588
594	594
658	658
671	671
678	678
711	711
764	764
HQ912459	HQ912459
rsys_AM710462_Base-NCBI	rsys_AM710462_Base-NCBI
rsys_HG530037_Base-NCBI	rsys_HG530037_Base-NCBI
rsys_HG530038_Base-NCBI	rsys_HG530038_Base-NCBI
rsys_HG530039_Base-NCBI	rsys_HG530039_Base-NCBI
rsys_HG530040_Base-NCBI	rsys_HG530040_Base-NCBI
rsys_HG530041_Base-NCBI	rsys_HG530041_Base-NCBI
rsys_HG530042_Base-NCBI	rsys_HG530042_Base-NCBI
rsys_HG530044_Base-NCBI	rsys_HG530044_Base-NCBI
rsys_HG530045_Base-NCBI	rsys_HG530045_Base-NCBI
rsys_HG530046_Base-NCBI	rsys_HG530046_Base-NCBI
rsys_HG530047_Base-NCBI	rsys_HG530047_Base-NCBI
rsys_HG530048_Base-NCBI	rsys_HG530048_Base-NCBI
rsys_HG530049_Base-NCBI	rsys_HG530049_Base-NCBI
rsys_HG530050_Base-NCBI	rsys_HG530050_Base-NCBI
rsys_JQ610167_Base-NCBI	rsys_JQ610167_Base-NCBI
rsys_KJ011842_Base-NCBI	rsys_KJ011842_Base-NCBI
rsys_TCC426-Rbcl-1_onema	rsys_TCC426-Rbcl-1_onema
rsys_TCC428-Rbcl-1_@speed-ID	rsys_TCC428-Rbcl-1_@speed-ID
rsys_TCC434-Rbcl-1_@speed-ID	rsys_TCC434-Rbcl-1_@speed-ID
rsys_TCC436-Rbcl-1_onema	rsys_TCC436-Rbcl-1_onema
rsys_TCC438-Rbcl-1_@speed-ID	rsys_TCC438-Rbcl-1_@speed-ID
rsys_TCC447-Rbcl-1_@speed-ID	rsys_TCC447-Rbcl-1_@speed-ID
rsys_TCC465-Rbcl-1_@speed-ID	rsys_TCC465-Rbcl-1_@speed-ID
rsys_TCC471-Rbcl-1_onema	rsys_TCC471-Rbcl-1_onema
rsys_TCC482-Rbcl-1_onema	rsys_TCC482-Rbcl-1_onema
rsys_TCC485-Rbcl-1_@speed-ID	rsys_TCC485-Rbcl-1_@speed-ID
rsys_TCC492-Rbcl-1_@speed-ID	rsys_TCC492-Rbcl-1_@speed-ID
rsys_TCC494-Rbcl-1_@speed-ID	rsys_TCC494-Rbcl-1_@speed-ID
rsys_TCC592-Rbcl-1_onema	rsys_TCC592-Rbcl-1_onema
rsys_TCC610-Rbcl-1_@speed-ID	rsys_TCC610-Rbcl-1_@speed-ID
rsys_TCC736-Rbcl-1_@speed-ID	rsys_TCC736-Rbcl-1_@speed-ID
rsys_TCC473-Rbcl-1_onema	rsys_TCC473-Rbcl-1_onema
rsys_TCC478-Rbcl-1_@speed-ID	rsys_TCC478-Rbcl-1_@speed-ID
rsys_KJ011840_Base-NCBI	rsys_KJ011840_Base-NCBI
HQ912472	HQ912472
KJ011833	KJ011833
KJ011834	KJ011834
rsys_AM710469_Base-NCBI	rsys_AM710469_Base-NCBI
rsys_TCC526-Rbcl-1_onema	rsys_TCC526-Rbcl-1_onema
457	457
661	661
rsys_AM710509_Base-NCBI	rsys_AM710509_Base-NCBI
JQ354682	JQ354682
JQ354694	JQ354694
KC736598	KC736598
rsys_TCC469-Rbcl-1_onema	rsys_TCC469-Rbcl-1_onema
rsys_TCC507-Rbcl-1_onema	rsys_TCC507-Rbcl-1_onema
rsys_TCC811-Rbcl-1_@speed-ID	rsys_TCC811-Rbcl-1_@speed-ID
KJ011841	KJ011841
KJ011836	KJ011836
rsys_Otu00013_Gomphonema.clavatulum_onema	rsys_Otu00013_Gomphonema.clavatulum_onema
rsys_Otu00024_Gomphonema.clavatulum_onema	rsys_Otu00024_Gomphonema.clavatulum_onema
rsys_Otu00033_Gomphonema.clavatulum_onema	rsys_Otu00033_Gomphonema.clavatulum_onema
rsys_Otu00035_Gomphonema.clavatulum_onema	rsys_Otu00035_Gomphonema.clavatulum_onema
rsys_Otu00045_Gomphonema.clavatulum_onema	rsys_Otu00045_Gomphonema.clavatulum_onema
rsys_Otu00054_Gomphonema.clavatulum_onema	rsys_Otu00054_Gomphonema.clavatulum_onema
rsys_Otu00059_Gomphonema.clavatulum_onema	rsys_Otu00059_Gomphonema.clavatulum_onema
rsys_Otu00063_Gomphonema.clavatulum_onema	rsys_Otu00063_Gomphonema.clavatulum_onema
rsys_Otu00101_Gomphonema.clavatulum_onema	rsys_Otu00101_Gomphonema.clavatulum_onema
rsys_Otu00103_Gomphonema.clavatulum_onema	rsys_Otu00103_Gomphonema.clavatulum_onema
90	90
901	901
rsys_TCC527-Rbcl-1_onema	rsys_TCC527-Rbcl-1_onema
rsys_JN162786_Base-NCBI	rsys_JN162786_Base-NCBI
AY571751	AY571751
rsys_TCC680-Rbcl-1_@speed-ID	rsys_TCC680-Rbcl-1_@speed-ID
rsys_AM710460_Base-NCBI	rsys_AM710460_Base-NCBI
KJ011838	KJ011838
62	62
63	63
rsys_AM710430_Base-NCBI	rsys_AM710430_Base-NCBI
rsys_AM710431_Base-NCBI	rsys_AM710431_Base-NCBI
rsys_TCC704-Rbcl-1_@speed-ID	rsys_TCC704-Rbcl-1_@speed-ID
572	572
586	586
123	123
124	124
130	130
186	186
200	200
204	204
211	211
250	250
311	311
French2366	French2366
rsys_TCC536-Rbcl-1_onema	rsys_TCC536-Rbcl-1_onema
708	708
569	569
rsys_KJ011843_Base-NCBI	rsys_KJ011843_Base-NCBI
rsys_KJ011844_Base-NCBI	rsys_KJ011844_Base-NCBI
rsys_KJ011845_Base-NCBI	rsys_KJ011845_Base-NCBI
rsys_KJ011846_Base-NCBI	rsys_KJ011846_Base-NCBI
rsys_KJ011847_Base-NCBI	rsys_KJ011847_Base-NCBI
705	705
120	120
137	137
156	156
165	165
745	745
rsys_TCC439-Rbcl-1_@speed-ID	rsys_TCC439-Rbcl-1_@speed-ID
KJ011831	KJ011831
rsys_TCC715-Rbcl-1_@speed-ID	rsys_TCC715-Rbcl-1_@speed-ID
KC736595	KC736595
rsys_TCC441-Rbcl-1_onema	rsys_TCC441-Rbcl-1_onema
rsys_TCC450-Rbcl-1_@speed-ID	rsys_TCC450-Rbcl-1_@speed-ID
rsys_TCC451-Rbcl-1_@speed-ID	rsys_TCC451-Rbcl-1_@speed-ID
rsys_TCC452-Rbcl-1_@speed-ID	rsys_TCC452-Rbcl-1_@speed-ID
rsys_TCC453-Rbcl-1_@speed-ID	rsys_TCC453-Rbcl-1_@speed-ID
rsys_TCC460-Rbcl-1_onema	rsys_TCC460-Rbcl-1_onema
rsys_TCC513-Rbcl-1_@speed-ID	rsys_TCC513-Rbcl-1_@speed-ID
rsys_TCC514-Rbcl-1_@speed-ID	rsys_TCC514-Rbcl-1_@speed-ID
KJ011837	KJ011837
JQ354681	JQ354681
HG530054	HG530054
HG530055	HG530055
rsys_TCC429-Rbcl-1_onema	rsys_TCC429-Rbcl-1_onema
rsys_TCC430-Rbcl-1_@speed-ID	rsys_TCC430-Rbcl-1_@speed-ID
rsys_TCC431-Rbcl-1_onema	rsys_TCC431-Rbcl-1_onema
rsys_TCC432-Rbcl-1_onema	rsys_TCC432-Rbcl-1_onema
rsys_TCC433-Rbcl-1_@speed-ID	rsys_TCC433-Rbcl-1_@speed-ID
rsys_TCC440-Rbcl-1_onema	rsys_TCC440-Rbcl-1_onema
rsys_TCC463-Rbcl-1_@speed-ID	rsys_TCC463-Rbcl-1_@speed-ID
rsys_TCC464-Rbcl-1_@speed-ID	rsys_TCC464-Rbcl-1_@speed-ID
rsys_TCC466-Rbcl-1_@speed-ID	rsys_TCC466-Rbcl-1_@speed-ID
rsys_TCC470-Rbcl-1_onema	rsys_TCC470-Rbcl-1_onema
rsys_TCC500-Rbcl-1_onema	rsys_TCC500-Rbcl-1_onema
703	703
HG530052	HG530052
HG530053	HG530053
rsys_TCC725-Rbcl-1_@speed-ID	rsys_TCC725-Rbcl-1_@speed-ID
rsys_TCC734-Rbcl-1_@speed-ID	rsys_TCC734-Rbcl-1_@speed-ID
HG530036	HG530036
HG530051	HG530051
HG530056	HG530056
rsys_TCC593-Rbcl-1_@speed-ID	rsys_TCC593-Rbcl-1_@speed-ID
rsys_TCC595-Rbcl-1_@speed-ID	rsys_TCC595-Rbcl-1_@speed-ID
rsys_TCC612-Rbcl-1_@speed-ID	rsys_TCC612-Rbcl-1_@speed-ID
rsys_TCC653-Rbcl-1_@speed-ID	rsys_TCC653-Rbcl-1_@speed-ID
rsys_TCC664-Rbcl-1_@speed-ID	rsys_TCC664-Rbcl-1_@speed-ID
rsys_TCC683-Rbcl-1_@speed-ID	rsys_TCC683-Rbcl-1_@speed-ID
KJ011848	KJ011848
KJ011849	KJ011849
French2551	French2551
rsys_TCC730-Rbcl-1_@speed-ID	rsys_TCC730-Rbcl-1_@speed-ID
rsys_TCC740-Rbcl-1_@speed-ID	rsys_TCC740-Rbcl-1_@speed-ID
rsys_TCC741-Rbcl-1_onema	rsys_TCC741-Rbcl-1_onema
rsys_KP400285_Base-NCBI	rsys_KP400285_Base-NCBI
rsys_KP400294_Base-NCBI	rsys_KP400294_Base-NCBI
rsys_KP400298_Base-NCBI	rsys_KP400298_Base-NCBI
rsys_DQ222440_Base-NCBI	rsys_DQ222440_Base-NCBI
rsys_EU090036_Base-NCBI	rsys_EU090036_Base-NCBI
rsys_EU090037_Base-NCBI	rsys_EU090037_Base-NCBI
rsys_EU090038_Base-NCBI	rsys_EU090038_Base-NCBI
rsys_KF701600_Base-NCBI	rsys_KF701600_Base-NCBI
HQ912462	HQ912462
rsys_KM999103_Base-NCBI	rsys_KM999103_Base-NCBI
rsys_KM999104_Base-NCBI	rsys_KM999104_Base-NCBI
rsys_TCC901-Rbcl-1_Sequencage_TCC	rsys_TCC901-Rbcl-1_Sequencage_TCC
HQ912390	HQ912390
rsys_TCC477-Rbcl-1_@speed-ID	rsys_TCC477-Rbcl-1_@speed-ID
rsys_TCC479-Rbcl-1_@speed-ID	rsys_TCC479-Rbcl-1_@speed-ID
TCC477	TCC477
rsys_AM710424_Base-NCBI	rsys_AM710424_Base-NCBI
rsys_KJ463481_Base-NCBI	rsys_KJ463481_Base-NCBI
rsys_KJ463482_Base-NCBI	rsys_KJ463482_Base-NCBI
rsys_KJ463483_Base-NCBI	rsys_KJ463483_Base-NCBI
rsys_FJ002103_Base-NCBI	rsys_FJ002103_Base-NCBI
rsys_JN162762_Base-NCBI	rsys_JN162762_Base-NCBI
rsys_KJ463478_Base-NCBI	rsys_KJ463478_Base-NCBI
rsys_KJ463479_Base-NCBI	rsys_KJ463479_Base-NCBI
HQ912466	HQ912466
rsys_KJ463475_Base-NCBI	rsys_KJ463475_Base-NCBI
rsys_KT007971_Base-NCBI	rsys_KT007971_Base-NCBI
rsys_KT023600_Base-NCBI	rsys_KT023600_Base-NCBI
rsys_KJ463458_Base-NCBI	rsys_KJ463458_Base-NCBI
rsys_KP400296_Base-NCBI	rsys_KP400296_Base-NCBI
rsys_KP400297_Base-NCBI	rsys_KP400297_Base-NCBI
rsys_HQ661108_Base-NCBI	rsys_HQ661108_Base-NCBI
rsys_JX173069_Base-NCBI	rsys_JX173069_Base-NCBI
rsys_HE978356_Base-NCBI	rsys_HE978356_Base-NCBI
rsys_HE663065_Base-NCBI	rsys_HE663065_Base-NCBI
rsys_HE978358_Base-NCBI	rsys_HE978358_Base-NCBI
rsys_HE978357_Base-NCBI	rsys_HE978357_Base-NCBI
rsys_HE663062_Base-NCBI	rsys_HE663062_Base-NCBI
rsys_HE663064_Base-NCBI	rsys_HE663064_Base-NCBI
rsys_HF563525_Base-NCBI	rsys_HF563525_Base-NCBI
rsys_HF563526_Base-NCBI	rsys_HF563526_Base-NCBI
rsys_HF563527_Base-NCBI	rsys_HF563527_Base-NCBI
527	527
rsys_AM710432_Base-NCBI	rsys_AM710432_Base-NCBI
739	739
839	839
KM084931	KM084931
rsys_JX413575_Base-NCBI	rsys_JX413575_Base-NCBI
rsys_KP125883_Base-NCBI	rsys_KP125883_Base-NCBI
rsys_KP125879_Base-NCBI	rsys_KP125879_Base-NCBI
rsys_JX401255_Base-NCBI	rsys_JX401255_Base-NCBI
rsys_KJ577897_Base-NCBI	rsys_KJ577897_Base-NCBI
rsys_AM710433_Base-NCBI	rsys_AM710433_Base-NCBI
French8192	French8192
rsys_TCC892-Rbcl-1_Sequencage_TCC	rsys_TCC892-Rbcl-1_Sequencage_TCC
rsys_TCC893-Rbcl-1_Sequencage_TCC	rsys_TCC893-Rbcl-1_Sequencage_TCC
French5711	French5711
French8452	French8452
KM084940	KM084940
rsys_AY571747_Base-NCBI	rsys_AY571747_Base-NCBI
rsys_AY571755_Base-NCBI	rsys_AY571755_Base-NCBI
rsys_FJ002115_Base-NCBI	rsys_FJ002115_Base-NCBI
rsys_HQ912510_Base-NCBI	rsys_HQ912510_Base-NCBI
rsys_JN162765_Base-NCBI	rsys_JN162765_Base-NCBI
rsys_JX413562_Base-NCBI	rsys_JX413562_Base-NCBI
rsys_AB430672_Base-NCBI	rsys_AB430672_Base-NCBI
rsys_KR048217_Base-NCBI	rsys_KR048217_Base-NCBI
rsys_AY866415_Base-NCBI	rsys_AY866415_Base-NCBI
rsys_AY866416_Base-NCBI	rsys_AY866416_Base-NCBI
rsys_DQ019445_Base-NCBI	rsys_DQ019445_Base-NCBI
rsys_DQ082743_Base-NCBI	rsys_DQ082743_Base-NCBI
rsys_DQ082744_Base-NCBI	rsys_DQ082744_Base-NCBI
rsys_DQ082745_Base-NCBI	rsys_DQ082745_Base-NCBI
rsys_DQ082746_Base-NCBI	rsys_DQ082746_Base-NCBI
rsys_DQ082747_Base-NCBI	rsys_DQ082747_Base-NCBI
rsys_DQ143045_Base-NCBI	rsys_DQ143045_Base-NCBI
rsys_DQ143046_Base-NCBI	rsys_DQ143046_Base-NCBI
rsys_DQ143047_Base-NCBI	rsys_DQ143047_Base-NCBI
rsys_FJ002104_Base-NCBI	rsys_FJ002104_Base-NCBI
rsys_HQ656837_Base-NCBI	rsys_HQ656837_Base-NCBI
rsys_HQ912509_Base-NCBI	rsys_HQ912509_Base-NCBI
rsys_KP400288_Base-NCBI	rsys_KP400288_Base-NCBI
rsys_KP400289_Base-NCBI	rsys_KP400289_Base-NCBI
rsys_JX970999_Base-NCBI	rsys_JX970999_Base-NCBI
rsys_JX971000_Base-NCBI	rsys_JX971000_Base-NCBI
rsys_JX971001_Base-NCBI	rsys_JX971001_Base-NCBI
rsys_JX971002_Base-NCBI	rsys_JX971002_Base-NCBI
rsys_JX971003_Base-NCBI	rsys_JX971003_Base-NCBI
rsys_JX971004_Base-NCBI	rsys_JX971004_Base-NCBI
rsys_JX971005_Base-NCBI	rsys_JX971005_Base-NCBI
rsys_JX971006_Base-NCBI	rsys_JX971006_Base-NCBI
rsys_JX971007_Base-NCBI	rsys_JX971007_Base-NCBI
rsys_JX971008_Base-NCBI	rsys_JX971008_Base-NCBI
rsys_JX971009_Base-NCBI	rsys_JX971009_Base-NCBI
rsys_JX971010_Base-NCBI	rsys_JX971010_Base-NCBI
rsys_JX971018_Base-NCBI	rsys_JX971018_Base-NCBI
rsys_JX971017_Base-NCBI	rsys_JX971017_Base-NCBI
rsys_JX971016_Base-NCBI	rsys_JX971016_Base-NCBI
rsys_JX971011_Base-NCBI	rsys_JX971011_Base-NCBI
rsys_JX971012_Base-NCBI	rsys_JX971012_Base-NCBI
rsys_JX971013_Base-NCBI	rsys_JX971013_Base-NCBI
rsys_JX971014_Base-NCBI	rsys_JX971014_Base-NCBI
rsys_JX971015_Base-NCBI	rsys_JX971015_Base-NCBI
rsys_KC853433_Base-NCBI	rsys_KC853433_Base-NCBI
rsys_JX401253_Base-NCBI	rsys_JX401253_Base-NCBI
rsys_JX401254_Base-NCBI	rsys_JX401254_Base-NCBI
rsys_KF701604_Base-NCBI	rsys_KF701604_Base-NCBI
rsys_KR048216_Base-NCBI	rsys_KR048216_Base-NCBI
rsys_KR048213_Base-NCBI	rsys_KR048213_Base-NCBI
rsys_HQ912525_Base-NCBI	rsys_HQ912525_Base-NCBI
rsys_EF423504_Base-NCBI	rsys_EF423504_Base-NCBI
rsys_DQ813820_Base-NCBI	rsys_DQ813820_Base-NCBI
rsys_AB430687_Base-NCBI	rsys_AB430687_Base-NCBI
rsys_JX413573_Base-NCBI	rsys_JX413573_Base-NCBI
rsys_HQ912516_Base-NCBI	rsys_HQ912516_Base-NCBI
rsys_HQ912506_Base-NCBI	rsys_HQ912506_Base-NCBI
rsys_AY604696_Base-NCBI	rsys_AY604696_Base-NCBI
rsys_HQ912418_Base-NCBI	rsys_HQ912418_Base-NCBI
rsys_KJ577894_Base-NCBI	rsys_KJ577894_Base-NCBI
rsys_HQ912513_Base-NCBI	rsys_HQ912513_Base-NCBI
rsys_DQ514793_Base-NCBI	rsys_DQ514793_Base-NCBI
rsys_FJ002109_Base-NCBI	rsys_FJ002109_Base-NCBI
rsys_HQ912427_Base-NCBI	rsys_HQ912427_Base-NCBI
rsys_KJ755339_Base-NCBI	rsys_KJ755339_Base-NCBI
rsys_KJ755340_Base-NCBI	rsys_KJ755340_Base-NCBI
rsys_KJ755341_Base-NCBI	rsys_KJ755341_Base-NCBI
rsys_KJ755337_Base-NCBI	rsys_KJ755337_Base-NCBI
rsys_KJ755338_Base-NCBI	rsys_KJ755338_Base-NCBI
rsys_TCC353-Rbcl-1_@speed-ID	rsys_TCC353-Rbcl-1_@speed-ID
rsys_KP150017_Base-NCBI	rsys_KP150017_Base-NCBI
rsys_KP150018_Base-NCBI	rsys_KP150018_Base-NCBI
rsys_KP150019_Base-NCBI	rsys_KP150019_Base-NCBI
rsys_KP150020_Base-NCBI	rsys_KP150020_Base-NCBI
rsys_KP150021_Base-NCBI	rsys_KP150021_Base-NCBI
rsys_KP150022_Base-NCBI	rsys_KP150022_Base-NCBI
rsys_KP150023_Base-NCBI	rsys_KP150023_Base-NCBI
rsys_KP150024_Base-NCBI	rsys_KP150024_Base-NCBI
rsys_KP150025_Base-NCBI	rsys_KP150025_Base-NCBI
rsys_KP150026_Base-NCBI	rsys_KP150026_Base-NCBI
rsys_KP150027_Base-NCBI	rsys_KP150027_Base-NCBI
rsys_KP150028_Base-NCBI	rsys_KP150028_Base-NCBI
rsys_KP150029_Base-NCBI	rsys_KP150029_Base-NCBI
rsys_KP150030_Base-NCBI	rsys_KP150030_Base-NCBI
rsys_KP150031_Base-NCBI	rsys_KP150031_Base-NCBI
rsys_KP150032_Base-NCBI	rsys_KP150032_Base-NCBI
rsys_KP150033_Base-NCBI	rsys_KP150033_Base-NCBI
rsys_KP150034_Base-NCBI	rsys_KP150034_Base-NCBI
rsys_KP150035_Base-NCBI	rsys_KP150035_Base-NCBI
rsys_KP150036_Base-NCBI	rsys_KP150036_Base-NCBI
rsys_KP150037_Base-NCBI	rsys_KP150037_Base-NCBI
rsys_KP150038_Base-NCBI	rsys_KP150038_Base-NCBI
rsys_KP150039_Base-NCBI	rsys_KP150039_Base-NCBI
rsys_KP150040_Base-NCBI	rsys_KP150040_Base-NCBI
rsys_KP150041_Base-NCBI	rsys_KP150041_Base-NCBI
rsys_KP150042_Base-NCBI	rsys_KP150042_Base-NCBI
rsys_KP150043_Base-NCBI	rsys_KP150043_Base-NCBI
rsys_KP150044_Base-NCBI	rsys_KP150044_Base-NCBI
rsys_KP150045_Base-NCBI	rsys_KP150045_Base-NCBI
rsys_KP150046_Base-NCBI	rsys_KP150046_Base-NCBI
rsys_KP150047_Base-NCBI	rsys_KP150047_Base-NCBI
rsys_KP150048_Base-NCBI	rsys_KP150048_Base-NCBI
rsys_KP150049_Base-NCBI	rsys_KP150049_Base-NCBI
rsys_KP150050_Base-NCBI	rsys_KP150050_Base-NCBI
rsys_KP150051_Base-NCBI	rsys_KP150051_Base-NCBI
rsys_KP150052_Base-NCBI	rsys_KP150052_Base-NCBI
rsys_KP150053_Base-NCBI	rsys_KP150053_Base-NCBI
rsys_KP150054_Base-NCBI	rsys_KP150054_Base-NCBI
rsys_KP150055_Base-NCBI	rsys_KP150055_Base-NCBI
rsys_KP150056_Base-NCBI	rsys_KP150056_Base-NCBI
rsys_KP150057_Base-NCBI	rsys_KP150057_Base-NCBI
rsys_KP150058_Base-NCBI	rsys_KP150058_Base-NCBI
rsys_KP150059_Base-NCBI	rsys_KP150059_Base-NCBI
rsys_KP150060_Base-NCBI	rsys_KP150060_Base-NCBI
rsys_KP150061_Base-NCBI	rsys_KP150061_Base-NCBI
rsys_KP150062_Base-NCBI	rsys_KP150062_Base-NCBI
rsys_KP150063_Base-NCBI	rsys_KP150063_Base-NCBI
rsys_KP150064_Base-NCBI	rsys_KP150064_Base-NCBI
rsys_KP150065_Base-NCBI	rsys_KP150065_Base-NCBI
rsys_KP150066_Base-NCBI	rsys_KP150066_Base-NCBI
rsys_KP150067_Base-NCBI	rsys_KP150067_Base-NCBI
rsys_KP150068_Base-NCBI	rsys_KP150068_Base-NCBI
rsys_KP150069_Base-NCBI	rsys_KP150069_Base-NCBI
rsys_KP150070_Base-NCBI	rsys_KP150070_Base-NCBI
rsys_KP150071_Base-NCBI	rsys_KP150071_Base-NCBI
rsys_KP150072_Base-NCBI	rsys_KP150072_Base-NCBI
rsys_KP150073_Base-NCBI	rsys_KP150073_Base-NCBI
rsys_KJ577902_Base-NCBI	rsys_KJ577902_Base-NCBI
rsys_KP150074_Base-NCBI	rsys_KP150074_Base-NCBI
rsys_KP150075_Base-NCBI	rsys_KP150075_Base-NCBI
rsys_KP150076_Base-NCBI	rsys_KP150076_Base-NCBI
rsys_KP150077_Base-NCBI	rsys_KP150077_Base-NCBI
rsys_KP150078_Base-NCBI	rsys_KP150078_Base-NCBI
rsys_KP150079_Base-NCBI	rsys_KP150079_Base-NCBI
rsys_KP150080_Base-NCBI	rsys_KP150080_Base-NCBI
rsys_KP150081_Base-NCBI	rsys_KP150081_Base-NCBI
rsys_KP150082_Base-NCBI	rsys_KP150082_Base-NCBI
rsys_KP150083_Base-NCBI	rsys_KP150083_Base-NCBI
rsys_KP150084_Base-NCBI	rsys_KP150084_Base-NCBI
rsys_KP150085_Base-NCBI	rsys_KP150085_Base-NCBI
rsys_KP150086_Base-NCBI	rsys_KP150086_Base-NCBI
rsys_KP150087_Base-NCBI	rsys_KP150087_Base-NCBI
rsys_KP150088_Base-NCBI	rsys_KP150088_Base-NCBI
rsys_DQ514767_Base-NCBI	rsys_DQ514767_Base-NCBI
rsys_HQ912483_Base-NCBI	rsys_HQ912483_Base-NCBI
rsys_DQ514768_Base-NCBI	rsys_DQ514768_Base-NCBI
rsys_DQ108387_Base-NCBI	rsys_DQ108387_Base-NCBI
rsys_FJ002127_Base-NCBI	rsys_FJ002127_Base-NCBI
rsys_JX413574_Base-NCBI	rsys_JX413574_Base-NCBI
rsys_HQ912527_Base-NCBI	rsys_HQ912527_Base-NCBI
rsys_FJ002101_Base-NCBI	rsys_FJ002101_Base-NCBI
rsys_AB430662_Base-NCBI	rsys_AB430662_Base-NCBI
rsys_FJ002102_Base-NCBI	rsys_FJ002102_Base-NCBI
rsys_FJ002147_Base-NCBI	rsys_FJ002147_Base-NCBI
rsys_FJ002155_Base-NCBI	rsys_FJ002155_Base-NCBI
rsys_HQ656822_Base-NCBI	rsys_HQ656822_Base-NCBI
rsys_FJ002128_Base-NCBI	rsys_FJ002128_Base-NCBI
rsys_AB430663_Base-NCBI	rsys_AB430663_Base-NCBI
rsys_HQ912521_Base-NCBI	rsys_HQ912521_Base-NCBI
rsys_KJ577889_Base-NCBI	rsys_KJ577889_Base-NCBI
rsys_JX401259_Base-NCBI	rsys_JX401259_Base-NCBI
rsys_AB430677_Base-NCBI	rsys_AB430677_Base-NCBI
rsys_HQ912498_Base-NCBI	rsys_HQ912498_Base-NCBI
rsys_JX401258_Base-NCBI	rsys_JX401258_Base-NCBI
rsys_KF701608_Base-NCBI	rsys_KF701608_Base-NCBI
rsys_AB430692_Base-NCBI	rsys_AB430692_Base-NCBI
rsys_JX401257_Base-NCBI	rsys_JX401257_Base-NCBI
rsys_AB430679_Base-NCBI	rsys_AB430679_Base-NCBI
rsys_HQ912476_Base-NCBI	rsys_HQ912476_Base-NCBI
rsys_JX401256_Base-NCBI	rsys_JX401256_Base-NCBI
rsys_KF701607_Base-NCBI	rsys_KF701607_Base-NCBI
rsys_AB430685_Base-NCBI	rsys_AB430685_Base-NCBI
rsys_AB430681_Base-NCBI	rsys_AB430681_Base-NCBI
rsys_AB430689_Base-NCBI	rsys_AB430689_Base-NCBI
rsys_HQ912507_Base-NCBI	rsys_HQ912507_Base-NCBI
rsys_JX419384_Base-NCBI	rsys_JX419384_Base-NCBI
rsys_AY604698_Base-NCBI	rsys_AY604698_Base-NCBI
rsys_FJ002113_Base-NCBI	rsys_FJ002113_Base-NCBI
rsys_JX401251_Base-NCBI	rsys_JX401251_Base-NCBI
rsys_KF701601_Base-NCBI	rsys_KF701601_Base-NCBI
rsys_FJ002114_Base-NCBI	rsys_FJ002114_Base-NCBI
rsys_JX401252_Base-NCBI	rsys_JX401252_Base-NCBI
rsys_AB430691_Base-NCBI	rsys_AB430691_Base-NCBI
AB491655	AB491655
rsys_JX401248_Base-NCBI	rsys_JX401248_Base-NCBI
rsys_KP400295_Base-NCBI	rsys_KP400295_Base-NCBI
rsys_JN162766_Base-NCBI	rsys_JN162766_Base-NCBI
rsys_JX401247_Base-NCBI	rsys_JX401247_Base-NCBI
rsys_FJ002121_Base-NCBI	rsys_FJ002121_Base-NCBI
rsys_FJ002122_Base-NCBI	rsys_FJ002122_Base-NCBI
rsys_HQ912482_Base-NCBI	rsys_HQ912482_Base-NCBI
rsys_JN162767_Base-NCBI	rsys_JN162767_Base-NCBI
rsys_JN162768_Base-NCBI	rsys_JN162768_Base-NCBI
rsys_HQ912541_Base-NCBI	rsys_HQ912541_Base-NCBI
rsys_JX401246_Base-NCBI	rsys_JX401246_Base-NCBI
rsys_JX401244_Base-NCBI	rsys_JX401244_Base-NCBI
rsys_HQ912538_Base-NCBI	rsys_HQ912538_Base-NCBI
rsys_JX401245_Base-NCBI	rsys_JX401245_Base-NCBI
rsys_HQ912502_Base-NCBI	rsys_HQ912502_Base-NCBI
rsys_HQ912505_Base-NCBI	rsys_HQ912505_Base-NCBI
rsys_HQ912429_Base-NCBI	rsys_HQ912429_Base-NCBI
rsys_JN162769_Base-NCBI	rsys_JN162769_Base-NCBI
rsys_KC284707_Base-NCBI	rsys_KC284707_Base-NCBI
rsys_HQ912487_Base-NCBI	rsys_HQ912487_Base-NCBI
rsys_KJ577884_Base-NCBI	rsys_KJ577884_Base-NCBI
rsys_HQ912533_Base-NCBI	rsys_HQ912533_Base-NCBI
